Cluster Size, Frequency
1, 841516
2, 33732
3, 6994
4, 2838
5, 1547
6, 1000
7, 727
8, 512
9, 385
10, 340
11, 274
12, 216
13, 196
14, 145
15, 113
16, 112
17, 113
18, 93
19, 74
20, 81
21, 71
22, 71
23, 65
24, 52
25, 54
26, 51
27, 75
28, 56
29, 35
30, 46
31, 44
32, 52
33, 60
34, 56
35, 44
36, 34
37, 58
38, 52
39, 41
40, 34
41, 42
42, 47
43, 38
44, 37
45, 49
46, 38
47, 32
48, 29
49, 26
50, 27
51, 18
52, 40
53, 45
54, 29
55, 37
56, 37
57, 32
58, 31
59, 33
60, 47
61, 31
62, 29
63, 34
64, 34
65, 40
66, 30
67, 26
68, 30
69, 33
70, 23
71, 28
72, 41
73, 30
74, 36
75, 29
76, 29
77, 19
78, 28
79, 30
80, 21
81, 31
82, 35
83, 34
84, 33
85, 45
86, 31
87, 28
88, 25
89, 19
90, 32
91, 46
92, 33
93, 40
94, 40
95, 31
96, 23
97, 22
98, 29
99, 28
100, 33
101, 31
102, 16
103, 24
104, 22
105, 27
106, 21
107, 22
108, 29
109, 23
110, 17
111, 30
112, 17
113, 25
114, 12
115, 17
116, 13
117, 19
118, 19
119, 21
120, 24
121, 18
122, 25
123, 15
124, 17
125, 18
126, 19
127, 13
128, 10
129, 12
130, 12
131, 10
132, 14
133, 9
134, 15
135, 13
136, 14
137, 6
138, 11
139, 15
140, 11
141, 14
142, 13
143, 7
144, 5
145, 12
146, 24
147, 7
148, 5
149, 7
150, 7
151, 13
152, 7
153, 8
154, 10
155, 4
156, 4
157, 6
158, 9
159, 5
160, 5
161, 2
162, 3
163, 6
164, 6
165, 5
166, 5
167, 8
168, 8
169, 3
170, 3
171, 3
172, 4
173, 1
174, 6
175, 5
176, 2
177, 5
178, 2
179, 4
180, 1
181, 3
182, 4
183, 2
184, 3
185, 3
186, 2
187, 2
188, 3
189, 1
190, 3
192, 2
194, 3
195, 1
196, 1
197, 1
198, 1
199, 3
201, 1
202, 1
203, 1
207, 1
208, 1
209, 1
210, 1
213, 1
214, 1
216, 1
217, 2
221, 2
222, 1
223, 1
227, 2
228, 1
229, 1
230, 1
234, 1
235, 1
237, 1
240, 1
242, 2
243, 1
248, 1
256, 2
258, 1
260, 1
272, 1
278, 1
309, 1
311, 1
312, 1
437, 1


Sorted Build


Cluster Size, Frequency
1, 846726
2, 32659
3, 6940
4, 2949
5, 1620
6, 1085
7, 749
8, 579
9, 455
10, 358
11, 301
12, 244
13, 191
14, 187
15, 153
16, 156
17, 129
18, 109
19, 108
20, 100
21, 93
22, 72
23, 69
24, 56
25, 56
26, 67
27, 71
28, 50
29, 47
30, 50
31, 63
32, 66
33, 68
34, 56
35, 51
36, 42
37, 52
38, 54
39, 52
40, 41
41, 37
42, 45
43, 43
44, 53
45, 36
46, 34
47, 25
48, 29
49, 41
50, 25
51, 41
52, 43
53, 38
54, 38
55, 32
56, 38
57, 37
58, 32
59, 41
60, 33
61, 39
62, 38
63, 42
64, 24
65, 37
66, 34
67, 36
68, 28
69, 40
70, 31
71, 35
72, 30
73, 30
74, 31
75, 50
76, 18
77, 25
78, 35
79, 30
80, 25
81, 30
82, 43
83, 24
84, 25
85, 45
86, 29
87, 32
88, 32
89, 31
90, 36
91, 33
92, 48
93, 29
94, 32
95, 29
96, 23
97, 24
98, 24
99, 33
100, 30
101, 19
102, 31
103, 24
104, 25
105, 25
106, 17
107, 22
108, 15
109, 19
110, 22
111, 29
112, 14
113, 18
114, 16
115, 21
116, 24
117, 21
118, 19
119, 21
120, 26
121, 17
122, 20
123, 12
124, 20
125, 22
126, 12
127, 10
128, 14
129, 10
130, 8
131, 10
132, 11
133, 17
134, 11
135, 15
136, 9
137, 12
138, 14
139, 12
140, 10
141, 12
142, 7
143, 7
144, 6
145, 13
146, 9
147, 9
148, 9
149, 9
150, 5
151, 15
152, 4
153, 1
154, 8
155, 6
156, 6
157, 5
158, 5
159, 6
160, 6
161, 4
162, 4
163, 5
164, 4
165, 5
166, 4
167, 6
168, 7
169, 4
170, 3
171, 3
172, 3
173, 7
174, 5
175, 2
176, 4
177, 3
178, 5
179, 3
180, 5
181, 2
182, 3
183, 1
184, 1
185, 1
186, 1
187, 3
191, 1
192, 3
193, 2
194, 1
196, 1
200, 2
201, 2
202, 1
203, 2
205, 1
207, 1
208, 1
209, 1
211, 1
212, 1
215, 1
216, 1
220, 1
221, 1
224, 1
225, 1
227, 2
228, 1
230, 1
231, 1
234, 1
236, 1
237, 1
238, 2
242, 1
243, 1
248, 1
254, 1
257, 1
259, 1
272, 1
277, 1
307, 1
312, 1
313, 1
438, 1

