Cluster Size, Frequency
1, 653291
2, 61254
3, 18815
4, 9093
5, 5062
6, 3363
7, 2345
8, 1674
9, 1331
10, 998
11, 777
12, 739
13, 625
14, 524
15, 379
16, 390
17, 346
18, 336
19, 305
20, 286
21, 232
22, 242
23, 224
24, 200
25, 182
26, 165
27, 161
28, 150
29, 142
30, 152
31, 152
32, 137
33, 152
34, 120
35, 103
36, 100
37, 116
38, 115
39, 101
40, 100
41, 101
42, 103
43, 86
44, 78
45, 84
46, 79
47, 75
48, 75
49, 71
50, 72
51, 79
52, 75
53, 56
54, 65
55, 69
56, 63
57, 47
58, 65
59, 60
60, 92
61, 63
62, 54
63, 70
64, 71
65, 80
66, 60
67, 75
68, 55
69, 71
70, 67
71, 60
72, 56
73, 61
74, 52
75, 66
76, 75
77, 56
78, 54
79, 48
80, 59
81, 60
82, 61
83, 52
84, 45
85, 53
86, 44
87, 73
88, 44
89, 51
90, 51
91, 60
92, 49
93, 44
94, 55
95, 64
96, 48
97, 61
98, 47
99, 45
100, 40
101, 52
102, 49
103, 51
104, 37
105, 47
106, 42
107, 47
108, 23
109, 43
110, 41
111, 45
112, 46
113, 34
114, 35
115, 31
116, 34
117, 38
118, 29
119, 44
120, 21
121, 36
122, 48
123, 33
124, 26
125, 32
126, 30
127, 30
128, 31
129, 19
130, 22
131, 20
132, 31
133, 25
134, 33
135, 26
136, 25
137, 22
138, 19
139, 18
140, 18
141, 24
142, 20
143, 17
144, 18
145, 19
146, 24
147, 21
148, 19
149, 21
150, 18
151, 20
152, 15
153, 16
154, 13
155, 15
156, 16
157, 20
158, 11
159, 15
160, 10
161, 10
162, 14
163, 8
164, 14
165, 13
166, 12
167, 16
168, 9
169, 15
170, 12
171, 6
172, 16
173, 10
174, 3
175, 9
176, 10
177, 5
178, 8
179, 9
180, 7
181, 6
182, 7
183, 5
184, 7
185, 13
186, 4
187, 10
188, 5
189, 9
190, 8
191, 6
192, 11
193, 8
194, 8
195, 7
196, 4
197, 2
198, 3
199, 6
200, 2
201, 2
202, 5
203, 1
204, 6
205, 2
206, 4
207, 4
208, 6
209, 3
210, 9
211, 6
212, 2
213, 4
214, 3
215, 2
216, 2
217, 1
218, 4
219, 1
220, 2
221, 3
222, 3
224, 1
225, 1
226, 2
227, 3
228, 1
229, 2
230, 1
232, 2
233, 1
234, 1
235, 5
236, 4
237, 1
238, 1
240, 2
241, 1
242, 1
243, 3
244, 5
245, 1
246, 1
247, 3
248, 3
249, 2
251, 3
252, 2
254, 1
255, 2
257, 1
258, 3
259, 2
260, 1
261, 1
262, 1
264, 1
266, 1
267, 2
268, 1
269, 1
272, 2
273, 1
276, 3
277, 2
278, 2
279, 1
280, 1
282, 2
283, 1
289, 1
291, 2
292, 1
295, 1
296, 2
303, 1
304, 2
309, 1
310, 1
313, 1
314, 2
315, 2
317, 1
319, 2
324, 2
326, 1
329, 1
334, 1
336, 1
341, 1
342, 1
346, 1
348, 1
352, 1
365, 1
368, 2
369, 1
381, 1
390, 1
391, 1
395, 1
405, 1
413, 1
443, 1
448, 1
458, 1
465, 1
481, 1
490, 1
491, 1
522, 1
547, 1
678, 1
828, 1


Sorted Build


Cluster Size, Frequency
1, 661591
2, 60711
3, 18857
4, 9353
5, 5397
6, 3565
7, 2547
8, 1847
9, 1469
10, 1158
11, 957
12, 882
13, 672
14, 591
15, 501
16, 482
17, 447
18, 427
19, 337
20, 324
21, 316
22, 297
23, 254
24, 218
25, 210
26, 220
27, 181
28, 178
29, 155
30, 155
31, 163
32, 146
33, 144
34, 125
35, 133
36, 143
37, 128
38, 122
39, 99
40, 107
41, 110
42, 96
43, 112
44, 79
45, 67
46, 96
47, 85
48, 85
49, 66
50, 87
51, 71
52, 75
53, 71
54, 79
55, 80
56, 56
57, 76
58, 62
59, 76
60, 71
61, 57
62, 68
63, 78
64, 66
65, 66
66, 66
67, 70
68, 71
69, 67
70, 64
71, 51
72, 56
73, 67
74, 75
75, 64
76, 60
77, 50
78, 61
79, 43
80, 58
81, 78
82, 52
83, 49
84, 46
85, 60
86, 53
87, 55
88, 51
89, 53
90, 54
91, 58
92, 57
93, 46
94, 65
95, 38
96, 56
97, 52
98, 49
99, 43
100, 48
101, 50
102, 38
103, 45
104, 40
105, 34
106, 49
107, 44
108, 32
109, 39
110, 45
111, 33
112, 35
113, 27
114, 39
115, 33
116, 38
117, 37
118, 33
119, 44
120, 38
121, 32
122, 51
123, 25
124, 21
125, 35
126, 24
127, 34
128, 23
129, 20
130, 27
131, 28
132, 23
133, 29
134, 21
135, 26
136, 21
137, 17
138, 22
139, 19
140, 25
141, 18
142, 20
143, 20
144, 18
145, 25
146, 21
147, 19
148, 20
149, 19
150, 15
151, 17
152, 15
153, 16
154, 14
155, 17
156, 11
157, 15
158, 10
159, 12
160, 11
161, 14
162, 15
163, 9
164, 9
165, 12
166, 15
167, 10
168, 12
169, 9
170, 10
171, 10
172, 7
173, 12
174, 8
175, 10
176, 7
177, 7
178, 8
179, 7
180, 7
181, 6
182, 5
183, 10
184, 12
185, 5
186, 5
187, 11
188, 7
189, 6
190, 5
191, 6
192, 7
193, 4
194, 5
195, 6
196, 4
197, 6
198, 3
199, 7
200, 2
201, 3
202, 5
203, 5
204, 4
205, 2
206, 6
208, 8
209, 2
210, 6
211, 5
212, 2
213, 1
214, 2
215, 1
216, 2
217, 3
218, 3
220, 5
221, 2
223, 3
225, 2
226, 2
227, 2
228, 1
229, 2
230, 1
232, 2
