Cluster Size, Frequency
1, 779483
2, 45253
3, 11202
4, 4616
5, 2550
6, 1505
7, 1112
8, 749
9, 616
10, 469
11, 430
12, 378
13, 290
14, 242
15, 220
16, 204
17, 186
18, 150
19, 130
20, 118
21, 104
22, 92
23, 85
24, 103
25, 98
26, 72
27, 64
28, 66
29, 67
30, 55
31, 44
32, 69
33, 76
34, 63
35, 70
36, 53
37, 69
38, 56
39, 49
40, 50
41, 52
42, 53
43, 57
44, 47
45, 46
46, 46
47, 45
48, 33
49, 32
50, 36
51, 49
52, 36
53, 39
54, 42
55, 54
56, 44
57, 51
58, 48
59, 38
60, 46
61, 37
62, 57
63, 42
64, 42
65, 63
66, 47
67, 39
68, 45
69, 54
70, 37
71, 32
72, 36
73, 49
74, 32
75, 45
76, 33
77, 41
78, 38
79, 43
80, 40
81, 43
82, 45
83, 48
84, 24
85, 55
86, 37
87, 27
88, 48
89, 31
90, 32
91, 50
92, 32
93, 44
94, 44
95, 49
96, 32
97, 35
98, 36
99, 27
100, 37
101, 31
102, 31
103, 27
104, 23
105, 35
106, 39
107, 24
108, 25
109, 37
110, 28
111, 27
112, 30
113, 24
114, 36
115, 24
116, 22
117, 34
118, 16
119, 16
120, 21
121, 27
122, 30
123, 20
124, 20
125, 22
126, 17
127, 22
128, 15
129, 25
130, 20
131, 12
132, 21
133, 14
134, 20
135, 17
136, 10
137, 18
138, 16
139, 15
140, 13
141, 13
142, 16
143, 12
144, 12
145, 11
146, 19
147, 11
148, 10
149, 10
150, 14
151, 11
152, 8
153, 9
154, 10
155, 7
156, 8
157, 7
158, 4
159, 14
160, 5
161, 5
162, 8
163, 8
164, 10
165, 5
166, 8
167, 11
168, 5
169, 4
170, 4
171, 7
172, 5
173, 3
174, 1
175, 4
176, 7
177, 6
178, 7
179, 5
180, 1
181, 5
182, 4
183, 8
184, 4
185, 5
186, 1
187, 6
188, 2
189, 5
190, 2
191, 4
192, 6
193, 2
194, 2
196, 5
197, 1
198, 1
199, 2
201, 4
203, 1
204, 3
205, 1
206, 1
207, 2
209, 2
211, 1
212, 1
214, 2
215, 1
216, 3
217, 1
220, 1
221, 2
225, 1
227, 1
228, 1
229, 1
232, 2
233, 1
234, 2
235, 1
237, 3
238, 1
240, 1
241, 1
242, 1
244, 5
245, 1
246, 2
248, 1
250, 1
252, 1
260, 1
262, 1
265, 1
266, 1
267, 2
272, 1
279, 1
281, 1
282, 1
290, 1
300, 1
315, 1
320, 2
323, 1
423, 1
484, 1


Sorted Build

Cluster Size, Frequency
1, 786125
2, 44201
3, 11062
4, 4731
5, 2599
6, 1668
7, 1210
8, 864
9, 677
10, 589
11, 503
12, 399
13, 354
14, 294
15, 259
16, 218
17, 212
18, 179
19, 147
20, 136
21, 122
22, 128
23, 97
24, 104
25, 101
26, 81
27, 87
28, 71
29, 64
30, 68
31, 64
32, 74
33, 92
34, 60
35, 94
36, 55
37, 62
38, 61
39, 55
40, 55
41, 58
42, 66
43, 60
44, 58
45, 36
46, 42
47, 48
48, 45
49, 34
50, 56
51, 49
52, 34
53, 47
54, 35
55, 49
56, 66
57, 62
58, 49
59, 53
60, 26
61, 40
62, 47
63, 50
64, 48
65, 55
66, 47
67, 60
68, 46
69, 37
70, 37
71, 40
72, 48
73, 38
74, 41
75, 44
76, 51
77, 44
78, 35
79, 43
80, 41
81, 43
82, 52
83, 30
84, 39
85, 45
86, 38
87, 40
88, 44
89, 24
90, 40
91, 43
92, 26
93, 36
94, 46
95, 46
96, 36
97, 24
98, 41
99, 29
100, 30
101, 37
102, 35
103, 25
104, 26
105, 24
106, 45
107, 21
108, 26
109, 36
110, 28
111, 30
112, 30
113, 28
114, 26
115, 21
116, 17
117, 23
118, 28
119, 25
120, 19
121, 33
122, 24
123, 17
124, 22
125, 24
126, 27
127, 25
128, 22
129, 17
130, 17
131, 12
132, 14
133, 20
134, 17
135, 12
136, 16
137, 16
138, 13
139, 19
140, 13
141, 11
142, 10
143, 12
144, 13
145, 17
146, 7
147, 13
148, 15
149, 6
150, 9
151, 11
152, 5
153, 12
154, 5
155, 11
156, 9
157, 3
158, 7
159, 8
160, 9
161, 5
162, 5
163, 8
164, 7
165, 6
166, 7
167, 5
168, 7
169, 6
170, 8
171, 4
172, 4
173, 2
174, 1
175, 5
176, 7
177, 6
178, 6
179, 4
181, 8
182, 7
183, 4
184, 5
186, 1
187, 8
188, 2
189, 2
190, 2
191, 1
192, 4
193, 2
194, 1
195, 3
196, 1
197, 1
198, 3
199, 2
200, 2
203, 3
204, 3
205, 2
206, 3
207, 3
208, 2
209, 2
210, 1
212, 1
215, 1
217, 1
218, 3
220, 1
221, 1
222, 1
224, 1
226, 1
228, 2
230, 1
231, 1
232, 1
233, 1
234, 1
235, 1
236, 1
238, 1
240, 1
241, 2
242, 3
243, 1
245, 1
246, 1
249, 1
250, 1
252, 1
255, 1
260, 2
265, 2
266, 1
267, 1
272, 1
280, 1
283, 1
290, 1
311, 1
315, 1
318, 1
322, 1
413, 1
480, 1

