Starting index build with R: 64  Lbuild: 100  alpha: 1.2  #threads: 48
L2: Using AVX2 distance computation DistanceL2Float
Using only first 1010812 from file.. 
Starting index build with 1010812 points... 
0% of index build completed.9.89304% of index build completed.19.7861% of index build completed.29.6791% of index build completed.39.5721% of index build completed.49.4652% of index build completed.59.3582% of index build completed.69.2513% of index build completed.79.1443% of index build completed.89.0373% of index build completed.98.9304% of index build completed.Starting final cleanup..done. Link time: 101.677s
Total number of clusters: 134671
Cluster Sizes:
Cluster ID: 399487, Size: 2
Cluster ID: 399254, Size: 1
Cluster ID: 397879, Size: 1
Cluster ID: 405441, Size: 2
Cluster ID: 395830, Size: 1
Cluster ID: 394465, Size: 1
Cluster ID: 393392, Size: 1
Cluster ID: 390701, Size: 1
Cluster ID: 389810, Size: 1
Cluster ID: 389667, Size: 1
Cluster ID: 389570, Size: 1
Cluster ID: 400389, Size: 1
Cluster ID: 385773, Size: 1
Cluster ID: 385760, Size: 1
Cluster ID: 384937, Size: 1
Cluster ID: 385902, Size: 1
Cluster ID: 382433, Size: 1
Cluster ID: 406305, Size: 1
Cluster ID: 383552, Size: 2
Cluster ID: 383782, Size: 1
Cluster ID: 407811, Size: 1
Cluster ID: 404520, Size: 1
Cluster ID: 400458, Size: 1
Cluster ID: 400405, Size: 1
Cluster ID: 397552, Size: 1
Cluster ID: 397599, Size: 1
Cluster ID: 393282, Size: 1
Cluster ID: 392764, Size: 1
Cluster ID: 392607, Size: 1
Cluster ID: 389379, Size: 1
Cluster ID: 389207, Size: 1
Cluster ID: 388876, Size: 1
Cluster ID: 385622, Size: 1
Cluster ID: 410428, Size: 1
Cluster ID: 383829, Size: 1
Cluster ID: 383488, Size: 1
Cluster ID: 383318, Size: 2
Cluster ID: 384422, Size: 1
Cluster ID: 382974, Size: 1
Cluster ID: 382185, Size: 1
Cluster ID: 381255, Size: 1
Cluster ID: 390300, Size: 1
Cluster ID: 385525, Size: 1
Cluster ID: 414081, Size: 2
Cluster ID: 407875, Size: 1
Cluster ID: 401865, Size: 2
Cluster ID: 401824, Size: 1
Cluster ID: 397764, Size: 1
Cluster ID: 397625, Size: 1
Cluster ID: 396193, Size: 1
Cluster ID: 395969, Size: 2
Cluster ID: 396225, Size: 1
Cluster ID: 394030, Size: 1
Cluster ID: 393064, Size: 2
Cluster ID: 392873, Size: 1
Cluster ID: 390390, Size: 1
Cluster ID: 388751, Size: 1
Cluster ID: 386031, Size: 1
Cluster ID: 385536, Size: 1
Cluster ID: 385418, Size: 1
Cluster ID: 384155, Size: 1
Cluster ID: 385073, Size: 1
Cluster ID: 382136, Size: 1
Cluster ID: 385631, Size: 2
Cluster ID: 380496, Size: 1
Cluster ID: 404759, Size: 1
Cluster ID: 404663, Size: 1
Cluster ID: 403226, Size: 1
